site,round,rep,sum_germ
GB,1,1,0
GB,1,2,1
GB,1,3,0
GB,1,4,2
GB,1,5,2
GB,1,6,4
GB,1,7,0
GB,1,8,0
GB,1,9,2
GB,1,10,2
GB,2,1,7
GB,2,2,6
GB,2,3,11
GB,2,4,7
GB,2,5,4
GB,2,6,9
GB,2,7,8
GB,2,8,3
GB,2,9,8
GB,2,10,6
GB,3,1,14
GB,3,2,16
GB,3,3,14
GB,3,4,15
GB,3,5,19
GB,3,6,19
GB,3,7,13
GB,3,8,14
GB,3,9,19
GB,3,10,17
GB,4,1,21
GB,4,2,15
GB,4,3,38
GB,4,4,34
GB,4,5,28
GB,4,6,10
GB,4,7,6
GB,4,8,21
GB,4,9,19
GB,4,10,16
GB,5,1,39
GB,5,2,31
GB,5,3,29
GB,5,4,38
GB,5,5,27
GB,5,6,31
GB,5,7,42
GB,5,8,22
GB,5,9,37
GB,5,10,47
GB,6,1,24
GB,6,2,23
GB,6,3,18
GB,6,4,35
GB,6,5,24
GB,6,6,20
GB,6,7,29
GB,6,8,22
GB,6,9,27
GB,6,10,21
GB,7,1,17
GB,7,2,16
GB,7,3,22
GB,7,4,24
GB,7,5,13
GB,7,6,20
GB,7,7,14
GB,7,8,21
GB,7,9,14
GB,7,10,29
GB,8,1,21
GB,8,2,15
GB,8,3,24
GB,8,4,12
GB,8,5,11
GB,8,6,17
GB,8,7,15
GB,8,8,22
GB,8,9,20
GB,8,10,18
IL,1,1,11
IL,1,2,11
IL,1,3,12
IL,1,4,16
IL,1,5,10
IL,1,6,3
IL,1,7,15
IL,1,8,15
IL,1,9,2
IL,1,10,5
IL,2,1,2
IL,2,2,23
IL,2,3,22
IL,2,4,12
IL,2,5,15
IL,2,6,3
IL,2,7,22
IL,2,8,14
IL,2,9,7
IL,2,10,1
IL,3,1,40
IL,3,2,33
IL,3,3,35
IL,3,4,21
IL,3,5,41
IL,3,6,24
IL,3,7,9
IL,3,8,22
IL,3,9,20
IL,3,10,9
IL,4,1,34
IL,4,2,48
IL,4,3,41
IL,4,4,4
IL,4,5,45
IL,4,6,10
IL,4,7,32
IL,4,8,34
IL,4,9,44
IL,4,10,7
IL,5,1,49
IL,5,2,36
IL,5,3,30
IL,5,4,30
IL,5,5,15
IL,5,6,13
IL,5,7,27
IL,5,8,18
IL,5,9,24
IL,5,10,12
IL,6,1,12
IL,6,2,36
IL,6,3,39
IL,6,4,25
IL,6,5,47
IL,6,6,10
IL,6,7,25
IL,6,8,4
IL,6,9,35
IL,6,10,33
IL,7,1,12
IL,7,2,6
IL,7,3,42
IL,7,4,12
IL,7,5,33
IL,7,6,13
IL,7,7,18
IL,7,8,8
IL,7,9,26
IL,7,10,18
IL,8,1,50
IL,8,2,5
IL,8,3,20
IL,8,4,6
IL,8,5,1
IL,8,6,2
IL,8,7,6
IL,8,8,10
IL,8,9,29
IL,8,10,6
MA,1,1,4
MA,1,2,5
MA,1,3,2
MA,1,4,2
MA,1,5,4
MA,1,6,2
MA,1,7,1
MA,1,8,2
MA,1,9,1
MA,1,10,8
MA,2,1,0
MA,2,2,4
MA,2,3,3
MA,2,4,8
MA,2,5,4
MA,2,6,7
MA,2,7,1
MA,2,8,2
MA,2,9,2
MA,2,10,9
MA,3,1,8
MA,3,2,14
MA,3,3,0
MA,3,4,9
MA,3,5,13
MA,3,6,10
MA,3,7,4
MA,3,8,14
MA,3,9,14
MA,3,10,13
MA,4,1,3
MA,4,2,10
MA,4,3,11
MA,4,4,4
MA,4,5,4
MA,4,6,8
MA,4,7,3
MA,4,8,2
MA,4,9,2
MA,4,10,8
MA,5,1,24
MA,5,2,23
MA,5,3,30
MA,5,4,27
MA,5,5,16
MA,5,6,20
MA,5,7,20
MA,5,8,18
MA,5,9,7
MA,5,10,30
MA,6,1,32
MA,6,2,30
MA,6,3,17
MA,6,4,21
MA,6,5,28
MA,6,6,28
MA,6,7,15
MA,6,8,25
MA,6,9,17
MA,6,10,21
MA,7,1,17
MA,7,2,20
MA,7,3,12
MA,7,4,14
MA,7,5,13
MA,7,6,10
MA,7,7,18
MA,7,8,13
MA,7,9,20
MA,7,10,16
MA,8,1,22
MA,8,2,15
MA,8,3,19
MA,8,4,23
MA,8,5,16
MA,8,6,19
MA,8,7,22
MA,8,8,15
MA,8,9,17
MA,8,10,12